id,key,value,concept_code,parent_id,sort_order,category,default,reserved,is_available
"",clinical_trials,Clinical Trials,"","",1,study_type,"","",1
"",basic_science,Basic Science,"","",2,study_type,"","",1
"",t0,T0: Basic Scientific Discovery,"","",3,study_type,"","",1
"",t1,T1: Translation to Humans,"","",4,study_type,"","",1
"",t2,T2: Translation to Patients,"","",5,study_type,"","",1
"",t3,T3: Translation to Practice,"","",6,study_type,"","",1
"",t4,T4: Translation to Populations,"","",7,study_type,"","",1
